"tract","Name","Employment_Rate_rP_gP_p25"
17031071100,"Lincoln Park, Chicago, IL",0.9967
17031819900,"Western Springs, IL",0.9692
17031062300,"Lake View, Chicago, IL",0.9579
17031411100,"Hyde Park, Chicago, IL",0.9548
17031819801,"Western Springs, IL",0.9113
17043845901,"Burr Ridge, IL",0.9021
17031070103,"Lincoln Park, Chicago, IL",0.8819
17031090300,"Edison Park, Chicago, IL",0.8772
17043843602,"Lombard, IL",0.8768
17043844401,"Downers Grove, IL",0.8714
17031061100,"Wrigleyville, Chicago, IL",0.8683
17031819700,"La Grange, IL",0.8638
17031720100,"Beverly, Chicago, IL",0.8578
17043844902,"Downers Grove, IL",0.8564
17031821800,"Evergreen Park, IL",0.8554
17197881002,"Lockport, IL",0.8521
17031070500,"Lincoln Park, Chicago, IL",0.8508
17031805701,"Park Ridge, IL",0.8462
17031823903,"Palos Park, IL",0.8445
17031071500,"Lincoln Park, Chicago, IL",0.8441
17043844502,"Oak Brook, IL",0.8409
17031824115,"Orland Park, IL",0.8387
17031823904,"Palos Heights, IL",0.8372
17043845702,"Downers Grove, IL",0.837
17043845805,"Burr Ridge, IL",0.8328
17031050900,"North Center, Chicago, IL",0.8323
17031812400,"Oak Park, IL",0.8309
17031832600,"Lincoln Park, Chicago, IL",0.8281
17031818401,"Hillside, IL",0.827
17031824105,"Orland Park, IL",0.825
17043845507,"Darien, IL",0.8237
17031820101,"Indian Head Park, IL",0.823
17031821900,"Evergreen Park, IL",0.8221
17031823901,"Palos Park, IL",0.8218
17031812802,"Oak Park, IL",0.8204
17031071000,"Lincoln Park, Chicago, IL",0.8193
17031805502,"Park Ridge, IL",0.8189
17043844301,"Lombard, IL",0.8188
17031812000,"River Forest, IL",0.8184
17031480100,"Calumet Heights, Chicago, IL",0.8184
17031839800,"Bridgeport, Chicago, IL",0.8183
17031805600,"Park Ridge, IL",0.8183
17031740200,"Mount Greenwood, Chicago, IL",0.818
18089030100,"East Chicago, IN",0.8163
17031818200,"Westchester, IL",0.8148
17031051300,"North Center, Chicago, IL",0.8138
17031823602,"Crestwood, IL",0.8132
17031270500,"Garfield Park, Chicago, IL",0.812
17031071200,"Lincoln Park, Chicago, IL",0.8115
17043845704,"Downers Grove, IL",0.8114
17031770901,"Harwood Heights, IL",0.8095
17031071700,"Lincoln Park, Chicago, IL",0.8091
17031241200,"West Town, Chicago, IL",0.809
17031062800,"Lake View, Chicago, IL",0.8087
17031061000,"Lake View, Chicago, IL",0.8083
17031841100,"Armour Square, Chicago, IL",0.8082
17031812302,"Oak Park, IL",0.808
17031750300,"South Side, Chicago, IL",0.8075
18089040100,"Whiting, IN",0.8074
17031816300,"Melrose Park, IL",0.8059
17031610800,"Canaryville, Chicago, IL",0.8055
17031063100,"Lake View East, Chicago, IL",0.8052
17043844001,"Elmhurst, IL",0.8049
17031243100,"West Town, Chicago, IL",0.8043
17031816800,"Berkeley, IL",0.8034
17031283100,"University Village / Little Italy, Chicago, IL",0.8029
17043844602,"Elmhurst, IL",0.8026
17031060300,"Lake View, Chicago, IL",0.8013
